"courseStu","courseStr","stuUDID","McountN","McountA","McountM","McountE"
"s..6........:48","s..6........",48,0,0,0,0
"s6..........:49","s6..........",49,4,19,5,0
"s.6.........:49","s.6.........",49,2,19,3,0
"s..6........:49","s..6........",49,1,11,17,0
"s...6.......:49","s...6.......",49,0,1,1,0
"s....6......:49","s....6......",49,0,6,5,2
"s.....6.....:49","s.....6.....",49,0,0,2,0
"s6..........:50","s6..........",50,6,20,3,2
"s.6.........:50","s.6.........",50,0,12,6,0
"s..6........:50","s..6........",50,1,11,14,1
"s...6.......:50","s...6.......",50,0,0,2,0
"s....6......:50","s....6......",50,0,5,7,1
"s.....6.....:50","s.....6.....",50,0,0,2,0
"s6..........:51","s6..........",51,4,22,3,0
"s.6.........:51","s.6.........",51,5,23,0,0
"s..6........:51","s..6........",51,3,17,9,0
"s...6.......:51","s...6.......",51,0,0,2,0
"s....6......:51","s....6......",51,0,7,6,0
"s.....6.....:51","s.....6.....",51,0,0,2,0
"s6..........:52","s6..........",52,1,23,6,1
"s.6.........:52","s.6.........",52,1,26,1,0
"s..6........:52","s..6........",52,2,6,19,0
"s...6.......:52","s...6.......",52,0,0,2,0
"s....6......:52","s....6......",52,0,4,8,1
"s.....6.....:52","s.....6.....",52,0,0,2,0
"s6..........:53","s6..........",53,1,10,10,10
"s.6.........:53","s.6.........",53,0,27,4,0
"s..6........:53","s..6........",53,1,3,21,1
"s...6.......:53","s...6.......",53,0,0,2,0
"s....6......:53","s....6......",53,0,3,9,1
"s.....6.....:53","s.....6.....",53,0,0,2,0
"s6..........:54","s6..........",54,4,19,4,1
"s.6.........:54","s.6.........",54,1,10,8,4
"s..6........:54","s..6........",54,0,14,14,2
"s...6.......:54","s...6.......",54,0,0,2,0
"s....6......:54","s....6......",54,0,2,8,3
"s.....6.....:54","s.....6.....",54,0,0,2,0
"s6..........:55","s6..........",55,2,18,9,1
"s.6.........:55","s.6.........",55,1,25,2,0
"s..6........:55","s..6........",55,1,9,18,1
"s....6......:55","s....6......",55,0,7,6,0
"s.....6.....:55","s.....6.....",55,0,0,2,0
"s6..........:56","s6..........",56,1,19,11,1
"s.6.........:56","s.6.........",56,2,29,0,0
"s..6........:56","s..6........",56,1,10,14,2
"s...6.......:56","s...6.......",56,0,0,2,0
"s....6......:56","s....6......",56,0,2,9,2
"s.....6.....:56","s.....6.....",56,0,0,2,0
"s..6........:57","s..6........",57,0,0,0,0
"s6..........:58","s6..........",58,3,22,5,1
"s.6.........:58","s.6.........",58,3,23,1,1
"s..6........:58","s..6........",58,3,23,3,0
"s...6.......:58","s...6.......",58,0,0,2,0
"s....6......:58","s....6......",58,0,3,9,1
"s.....6.....:58","s.....6.....",58,0,0,2,0
"s6..........:59","s6..........",59,2,16,9,4
"s.6.........:59","s.6.........",59,7,21,0,0
"s..6........:59","s..6........",59,2,8,19,1
"s...6.......:59","s...6.......",59,0,1,1,0
"s....6......:59","s....6......",59,0,2,6,5
"s.....6.....:59","s.....6.....",59,0,0,2,0
"s6..........:60","s6..........",60,6,25,0,0
"s.6.........:60","s.6.........",60,4,24,0,0
"s..6........:60","s..6........",60,5,16,6,0
"s...6.......:60","s...6.......",60,0,1,1,0
"s....6......:60","s....6......",60,0,11,2,0
"s.....6.....:60","s.....6.....",60,0,1,1,0
"s6..........:61","s6..........",61,2,22,6,0
"s.6.........:61","s.6.........",61,4,22,0,0
"s..6........:61","s..6........",61,4,9,13,0
"s...6.......:61","s...6.......",61,0,1,1,0
"s....6......:61","s....6......",61,0,1,10,2
"s.....6.....:61","s.....6.....",61,0,0,2,0
"s6..........:63","s6..........",63,3,26,2,0
"s.6.........:63","s.6.........",63,5,24,0,0
"s..6........:63","s..6........",63,3,20,7,0
"s...6.......:63","s...6.......",63,0,1,1,0
"s....6......:63","s....6......",63,0,7,4,2
"s.....6.....:63","s.....6.....",63,0,0,2,0
"s6..........:64","s6..........",64,1,24,6,0
"s.6.........:64","s.6.........",64,2,19,0,1
"s..6........:64","s..6........",64,2,12,15,1
"s...6.......:64","s...6.......",64,0,0,2,0
"s....6......:64","s....6......",64,0,4,5,4
"s.....6.....:64","s.....6.....",64,0,0,2,0
"s6..........:65","s6..........",65,7,13,3,0
"s.6.........:65","s.6.........",65,6,10,0,0
"s..6........:65","s..6........",65,4,12,11,0
"s....6......:65","s....6......",65,0,4,4,0
"s.....6.....:65","s.....6.....",65,0,0,2,0
"s6..........:66","s6..........",66,1,19,8,2
"s.6.........:66","s.6.........",66,2,22,5,1
"s..6........:66","s..6........",66,1,5,21,3
"s...6.......:66","s...6.......",66,0,1,1,0
"s....6......:66","s....6......",66,0,7,5,1
"s.....6.....:66","s.....6.....",66,0,0,2,0
"s6..........:67","s6..........",67,2,23,7,0
"s.6.........:67","s.6.........",67,2,24,0,1
"s..6........:67","s..6........",67,1,12,13,0
"s...6.......:67","s...6.......",67,0,0,2,0
"s....6......:67","s....6......",67,0,3,8,2
"s.....6.....:67","s.....6.....",67,0,0,2,0
"s6..........:68","s6..........",68,3,20,6,1
"s.6.........:68","s.6.........",68,0,17,5,1
"s..6........:68","s..6........",68,2,18,9,0
"s...6.......:68","s...6.......",68,0,0,2,0
"s....6......:68","s....6......",68,0,7,5,1
"s.....6.....:68","s.....6.....",68,0,0,2,0
"s.6.........:69","s.6.........",69,0,0,0,0
"s..6........:69","s..6........",69,0,0,0,0
"s6..........:70","s6..........",70,2,16,14,0
"s.6.........:70","s.6.........",70,1,20,6,2
"s..6........:70","s..6........",70,2,4,9,2
"s....6......:70","s....6......",70,0,5,6,2
"s.....6.....:70","s.....6.....",70,0,0,2,0
"s6..........:71","s6..........",71,1,23,4,0
"s.6.........:71","s.6.........",71,1,30,1,0
"s..6........:71","s..6........",71,2,16,10,2
"s...6.......:71","s...6.......",71,0,2,0,0
"s....6......:71","s....6......",71,0,3,5,3
"s.....6.....:71","s.....6.....",71,0,0,2,0
"s6..........:72","s6..........",72,3,23,5,0
"s.6.........:72","s.6.........",72,12,13,0,0
"s..6........:72","s..6........",72,5,18,7,0
"s...6.......:72","s...6.......",72,0,0,2,0
"s....6......:72","s....6......",72,0,10,2,1
"s.....6.....:72","s.....6.....",72,0,0,2,0
"s6..........:73","s6..........",73,4,22,6,1
"s.6.........:73","s.6.........",73,0,24,1,0
"s..6........:73","s..6........",73,2,7,8,0
"s....6......:73","s....6......",73,0,7,5,1
"s.....6.....:73","s.....6.....",73,0,1,1,0
"s..6........:74","s..6........",74,0,0,0,0
"s6..........:75","s6..........",75,7,15,9,1
"s.6.........:75","s.6.........",75,2,26,2,1
"s..6........:75","s..6........",75,2,15,10,3
"s...6.......:75","s...6.......",75,0,0,2,0
"s....6......:75","s....6......",75,0,0,7,4
